Wavelength(nm), SC charge (e-), PD charge (e-)
350.0, 9.954060804516976e-08, 6.9194363817404635e-09
356.0, 1.1997830101180097e-07, 8.639981791019284e-09
362.0, 1.27078495598241e-07, 8.707147537641698e-09
364.0, 1.2887853488569148e-07, 8.512981324816843e-09
368.0, 1.284308733990103e-07, 8.327005599713422e-09
370.0, 1.4228839526605097e-07, 8.869759442098739e-09
376.0, 1.463625306922198e-07, 9.431583459915538e-09
378.0, 1.3851978290245222e-07, 9.803345646146596e-09
386.0, 1.4567154618785868e-07, 1.0511870471243362e-08
388.0, 1.6004456881882002e-07, 1.1300039747286664e-08
390.0, 1.7115454274858435e-07, 1.1259350375353586e-08
392.0, 1.7157374254784454e-07, 1.0659828561587669e-08
394.0, 1.7291081488065303e-07, 1.188573064316342e-08
396.0, 1.871447768866336e-07, 1.3389487684320568e-08
398.0, 1.923436938666823e-07, 1.2906130312884625e-08
400.0, 1.9912842306234674e-07, 1.3067553136620707e-08
402.0, 2.1121242777055623e-07, 1.4101547138589697e-08
404.0, 2.3591056478541438e-07, 1.5527877896416926e-08
406.0, 2.4894085678806605e-07, 1.5197152954700317e-08
410.0, 2.775558783368755e-07, 1.6584506410785073e-08
414.0, 3.005601917339257e-07, 1.8739756243195603e-08
418.0, 3.029158207045911e-07, 2.0323838234554453e-08
424.0, 2.8552611781926576e-07, 2.328492127569575e-08
428.0, 2.473026229842462e-07, 1.525671804694667e-08
432.0, 2.6192987818015544e-07, 2.310168331616805e-08
434.0, 2.5374735533185856e-07, 2.215898571627187e-08
438.0, 2.4991606435269337e-07, 2.2900970552247222e-08
440.0, 2.440674382854307e-07, 2.366639622654431e-08
442.0, 2.3718641446336396e-07, 2.3152424138779464e-08
444.0, 2.364718682053276e-07, 2.3913488773921286e-08
450.0, 2.2526255437038683e-07, 2.4080398856695604e-08
452.0, 2.2684665711891638e-07, 2.4201063675356683e-08
454.0, 2.2609290136695272e-07, 2.52863162433732e-08
458.0, 2.1731323159605168e-07, 2.4818588242005644e-08
460.0, 2.2068123661513759e-07, 2.510685982336836e-08
462.0, 2.1803665588588087e-07, 2.4561735139118673e-08
464.0, 2.2139864219895693e-07, 2.407974298689554e-08
466.0, 2.1680530923713508e-07, 2.474854620617872e-08
476.0, 2.1457111395101226e-07, 2.526363703409376e-08
480.0, 2.107383773691058e-07, 2.3609880166899692e-08
482.0, 2.1422636295287931e-07, 2.3942120868220314e-08
486.0, 2.0873894921468476e-07, 2.3577077872251426e-08
490.0, 2.1195503123022385e-07, 1.9972849282692215e-08
492.0, 2.0620715766750612e-07, 2.0888567984996777e-08
496.0, 2.0543763701329516e-07, 1.8080328118056695e-08
502.0, 1.9576305852886718e-07, 1.9166634118349566e-08
504.0, 1.9428663564366978e-07, 2.2168051714675877e-08
506.0, 1.9229544754050686e-07, 2.0651039592327562e-08
512.0, 1.8362265470359098e-07, 2.7273800970251077e-08
